,Sentence,Pre-processed sentence,textblob-subjectivity,vader-pos,vader-neg,vader-neu,vader-compound,vader-polarity,sentiment-category
18,"Interesting, interesting.",interesting interesting,0.5,1.0,0.0,0.0,0.6597,Positive,
19,It has a lot of bullet points here.,lot bullet point,0.0,0.0,0.0,1.0,0.0,Neutral,
20,A lot of rules and I'm just assuming that's just because the country does that.,lot rule assume country,0.0,0.0,0.0,1.0,0.0,Neutral,
21,Rolls outdoors.,rolls outdoors,0.0,0.0,0.0,1.0,0.0,Neutral,
22,Interesting.,interesting,0.5,1.0,0.0,0.0,0.4019,Positive,
23,"Okay, children up to an age of six years.",okay child age six year,0.5,0.322,0.0,0.678,0.2263,Positive,
24,I didn't know that.,not know,0.0,0.0,0.0,1.0,0.0,Neutral,
25,"Okay, let's say if I want to visit What do I have to do traveling immigration?",okay let us say want visit travel immigration,0.5,0.348,0.0,0.652,0.296,Positive,
26,That's what I would have to do.,would,0.0,0.0,0.0,1.0,0.0,Neutral,
27,Traveling to Slovakia that's what I would need or foreign affairs.,traveling slovakia would need foreign affair,0.125,0.0,0.0,1.0,0.0,Neutral,
28,"Okay, let's start with traveling to Slovakia.",okay let us start travel slovakia,0.5,0.275,0.0,0.725,0.2263,Positive,
29,Border regime of Slovakia.,border regime slovakia,0.0,0.0,0.0,1.0,0.0,Neutral,
30,"Okay, regulation valid from July 19.",okay regulation valid july 19,0.5,0.322,0.0,0.678,0.2263,Positive,
31,So that's quite a while back I'm doing this in October.,quite back october,0.0,0.0,0.0,1.0,0.0,Neutral,
32,So general rules for arrival from abroad.,general rule arrival abroad,0.5,0.0,0.0,1.0,0.0,Neutral,
33,No later and upon entry in the territory of Slovak Republic.,no later upon entry territory slovak republic,0.0,0.0,0.268,0.732,-0.296,Negative,
34,people arriving into luckiness register.,people arrive luckiness register,0.0,0.4,0.0,0.6,0.25,Positive,
35,"Okay, so I'd have to register by air are also obliged to fill in the form of passenger location.",okay would register air also oblige fill form passenger location,0.5,0.174,0.0,0.826,0.2263,Positive,
36,"Oh, okay.",oh okay,0.5,0.655,0.0,0.345,0.2263,Positive,
37,"So I wonder is this passenger location where it's from, oh, arriving from country not listed in the city.",wonder passenger location oh arrive country not list city,0.0,0.0,0.0,1.0,0.0,Neutral,
38,So I'm assuming this is just for what country you're coming from?,assume country come,0.0,0.0,0.0,1.0,0.0,Neutral,
39,Where?,,0.0,0.0,0.0,0.0,0.0,Neutral,
40,What airport you're landing.,airport land,0.0,0.0,0.0,1.0,0.0,Neutral,
41,I think it's what country that would make that would make sense.,think country would make would make sense,0.0,0.0,0.0,1.0,0.0,Neutral,
42,unvaccinated people entering the territory of Slovak Republic from 19 July six 6am.,unvaccinated people enter territory slovak republic 19 july six 6am,0.0,0.0,0.0,1.0,0.0,Neutral,
43,"Self isolation, okay.",self isolation okay,0.5,0.339,0.482,0.179,-0.2023,Negative,
44,These are all good things to have.,good thing,0.6000000000000001,0.744,0.0,0.256,0.4404,Positive,
45,Definitely.,definitely,0.5,1.0,0.0,0.0,0.4019,Positive,
46,This is the information that I'm always looking for when I'm going to travel somewhere.,information always look go travel somewhere,0.0,0.0,0.0,1.0,0.0,Neutral,
47,So it's good that it's right here.,good right,0.5678571428571428,0.744,0.0,0.256,0.4404,Positive,
48,I love that vaccinated person.,love vaccinate person,0.6,0.677,0.0,0.323,0.6369,Positive,Satisfaction
49,"Okay, so it's it's interesting how it's that same person here and then you have the non vaccinated tucked up here but it's also interesting how there's so much information here that at least 14 days and not more than 12 months after administration second dose, these 21 days and not more than 12 months after administration of the single dose vaccine.",okay interest person non vaccinate tuck also interesting much information least 14 day not 12 month administration second dose 21 day not 12 month administration single dose vaccine,0.30238095238095236,0.233,0.0,0.767,0.765,Positive,
50,"Okay, so there's a lot of different rules or requirements.",okay lot different rule requirement,0.55,0.322,0.0,0.678,0.2263,Positive,
51,"II Okay, right.",ii okay right,0.5178571428571428,0.487,0.0,0.513,0.2263,Positive,
52,That's what that website was up there.,website,0.0,0.0,0.0,1.0,0.0,Neutral,
53,I liked how that was linked previously.,like link previously,0.16666666666666666,0.556,0.0,0.444,0.3612,Positive,Satisfaction
54,"That's linked a lot actually, which is very cool.",link lot actually cool,0.65,0.434,0.0,0.566,0.3182,Positive,
55,No test is required.,no test require,0.0,0.0,0.524,0.476,-0.296,Negative,
56,Is my country on here.,country,0.0,0.0,0.0,1.0,0.0,Neutral,
57,That's interesting.,interest,0.0,1.0,0.0,0.0,0.4588,Positive,
58,"I don't see oh, no, I do see it right here.",not see oh no see right,0.5357142857142857,0.0,0.554,0.446,-0.6072,Negative,
59,Okay.,okay,0.5,1.0,0.0,0.0,0.2263,Positive,
60,I jumped to conclusions.,jump conclusion,0.0,0.0,0.0,1.0,0.0,Neutral,
61,Let's see.,let us see,0.0,0.6,0.0,0.4,0.4588,Positive,
62,"Okay, so we have all of the all the registration and Vaccine Information here, which is really good.",okay registration vaccine information really good,0.55,0.56,0.0,0.44,0.624,Positive,
63,That's what I would imagine I would need that.,would imagine would need,0.0,0.0,0.0,1.0,0.0,Neutral,
64,"Let's go back to the homepage, and see if there's anything else I would need to know.",let us go back homepage see anything else would need know,0.0,0.231,0.0,0.769,0.4588,Positive,
65,Other than what do i do i know prevent infection symptoms Coronavirus.,know prevent infection symptom coronavirus,0.0,0.216,0.0,0.784,0.0258,Positive,
66,"So if I overwrite this one, which takes me to a different website, which is very cool, okay.",overwrite one take different website cool okay,0.5833333333333334,0.457,0.0,0.543,0.4939,Positive,
67,"Ministry of Foreign Affairs, I'm just gonna let that load.",ministry foreign affairs gon na let load,0.125,0.0,0.0,1.0,0.0,Neutral,
68,"Okay, so if I go just back over here, it has all the information I need, it seems like which is great.",okay go back information need seem like great,0.4166666666666667,0.63,0.0,0.37,0.8176,Positive,Satisfaction
69,So I'm pretty impressed with it.,pretty impressed,1.0,1.0,0.0,0.0,0.743,Positive,
70,"I think that there's a ton of information here but this is also similar to how a lot of government websites are set up over here and you have oh, this is interesting permission.",think ton information also similar lot government website set oh interesting permission,0.45,0.197,0.0,0.803,0.4019,Positive,
71,To their exemptions from compulsory home isolation.,exemption compulsory home isolation,0.0,0.0,0.474,0.526,-0.4019,Negative,
72,Commuters really?,commuters really,0.2,0.0,0.0,1.0,0.0,Neutral,
73,"Okay, so I'm wearing a lot just beyond what I would have to know for this, which is great.",okay wear lot beyond would know great,0.625,0.545,0.0,0.455,0.7184,Positive,
74,I really like that.,really like,0.2,0.736,0.0,0.264,0.4201,Positive,Satisfaction
75,It looks like I have found all the information I need.,look like find information need,0.0,0.647,0.0,0.353,0.6705,Positive,Satisfaction
76,It's a great website.,great website,0.75,0.804,0.0,0.196,0.6249,Positive,
77,It has everything I look for when trying to decide what I need for travel.,everything look try decide need travel,0.0,0.0,0.0,1.0,0.0,Neutral,
78,"The statistics in the beginning are a little overwhelming just because there are so many, and the way to get to the travel information is a little small, so it seems like it would be easy to miss.",statistic beginning little overwhelming many way get travel information little small seem like would easy miss,0.6222222222222222,0.245,0.209,0.545,0.2023,Positive,Satisfaction
79,"Overall though, it had more than enough information to the point that I would be confident if I was traveling there tomorrow.",overall though enough information point would confident travel tomorrow,0.4444444444444445,0.286,0.0,0.714,0.4939,Positive,
80,I especially appreciated the guidelines on facemasks because it is so different in different countries that I do not know what would be socially acceptable in one country but not another.,especially appreciate guideline facemasks different different country not know would socially acceptable one country not another,0.5666666666666668,0.274,0.0,0.726,0.6478,Positive,Satisfaction
