,Sentence,Pre-processed sentence,textblob-subjectivity,vader-pos,vader-neg,vader-neu,vader-compound,vader-polarity,sentiment-category
61,I'd go expect them to do it for me from patients or from anyone who writes to me.,would go expect patient anyone write,0.0,0.0,0.0,1.0,0.0,Neutral,[]
62,"I certainly wouldn't go to the news to send patients a message with my ears I just, I'd go to the patient's place to look for some push button to notify patients or send a message to a patient or something.",certainly would not go news send patient message ear would go patient place look push button notify patient send message patient something,0.5714285714285714,0.103,0.0,0.897,0.34,Positive,[]
63,"I certainly wouldn't go to the news I went there, so we'd talk about it there.",certainly would not go news go would talk,0.5714285714285714,0.255,0.0,0.745,0.34,Positive,[]
64,And what do I get and?,get,0.0,0.0,0.0,1.0,0.0,Neutral,[]
65,"Everything is clear to me, surprised by the translation of hr.",everything clear surprise translation hr,0.3833333333333333,0.61,0.0,0.39,0.5719,Positive,[]
66,"I like photos, for example, that nothing that I like.",like photo example nothing like,0.0,0.329,0.277,0.394,0.1002,Positive,[]
67,"Uh, I don't know that it's big.",uh not know big,0.1,0.0,0.0,1.0,0.0,Neutral,[]
68,Such a well-visible substrate.,wellvisible substrate,0.0,0.0,0.0,1.0,0.0,Neutral,[]
69,"It's good that it's easy to read and it's working fast, and after I've read it every time, I always read reviews of just that doctor on.",good easy read work fast read every time always read review doctor,0.6777777777777779,0.367,0.0,0.633,0.7003,Positive,[]
70,"What people write, so I'm very happy for the fact that it's there that the option just there 2 thing is that if a doctor can somehow just edit it, if a doctor can delete bad reviews from his profile, for example, because then it would be untrustworthy and then it would be useless for me if you could.",people write happy fact option 2 thing doctor somehow edit doctor delete bad review profile example would untrustworthy would useless could,0.6222222222222221,0.132,0.225,0.643,-0.3818,Negative,[]
71,"Uh for 2, can he comment on them?",uh 2 comment,0.0,0.0,0.0,1.0,0.0,Neutral,[]
72,"He might have given himself something to answer, but I don't know if I can comment on it.",might give something answer not know comment,0.0,0.0,0.0,1.0,0.0,Neutral,[]
73,"Yes, I will set an example, I welcome there could also be some discussion, that would ask people some frequently asked questions and that I am concerned about something and they are not there.",yes set example welcome could also discussion would ask people frequently ask question concern something not,0.6,0.289,0.0,0.711,0.6908,Positive,[]
74,I'll read that I don't have to write to that doctor and.,shall read not write doctor,0.0,0.0,0.0,1.0,0.0,Neutral,[]
75,"I'm going to find some kind of discussion about the 2016 2016 2016 2016 debate, and some of these doctors who're there have already answered some patient and I'm kind of wondering, so you understand that there's just going to be a discussion forum where just the doctors with those specialties that you're asking, right?",go find kind discussion 2016 2016 2016 2016 debate doctor whore already answer patient kind wonder understand go discussion forum doctor specialty ask right,0.7785714285714286,0.287,0.126,0.587,0.6705,Positive,[]
76,"This question is how quickly the doctor would answer me that, for example, if there was one, but you can see if he had the next free date of 2 weeks, I'd be two weeks away from 2 weeks.",question quickly doctor would answer example one see next free date 2 week would two week away 2 week,0.43333333333333335,0.27,0.0,0.73,0.743,Positive,[]
77,"Why the math in my eye and when I could read it that someone was already dealing with it, it made me at least 40% happy that I'd wait two more weeks and if I hadn't found it, I'd never have done it again, so.",math eye could read someone already deal make least 40 happy would wait two week not find would never,0.7,0.16,0.107,0.733,0.3004,Positive,[]
78,"What I didn't like was what I didn't like about, but I don't like it like it if it went slowly, that it's been loading for an awful long time, but I wouldn't like it shaking lo.",not like not like not like like go slowly load awful long time would not like shake lo,0.6,0.202,0.366,0.432,-0.6333,Negative,[]
79,"There's a good thing there aren't useless articles, that there aren't useless any I don't know what.",good thing not useless article not useless not know,0.3333333333333333,0.558,0.0,0.442,0.7625,Positive,[]
80,"The only thing I'd go into this discussion is for sure, but that there aren't any that someone's giving you, that he's going to buy vitamins, and I'd probably go out there and make fun of it, that's where you have to ask me what I didn't like, it was fine, no.",thing would go discussion sure not someone give go buy vitamin would probably go make fun ask not like fine no,0.5296296296296296,0.341,0.13,0.528,0.7172,Positive,[]
81,"I'm an hour and a half away, so it was quick.",hour half away quick,0.3333333333333333,0.0,0.0,1.0,0.0,Neutral,[]
82,It was a flight you were and appropriate.,flight appropriate,0.5,0.0,0.0,1.0,0.0,Neutral,[]
83,Well now from how likely it is to this site for a long time.,well likely site long time,0.7,0.344,0.0,0.656,0.2732,Positive,[]
84,So what do you think parents like well this site together as the right side.,think parent like well site together right side,0.5357142857142857,0.434,0.0,0.566,0.5574,Positive,[]
85,Does this website have a user-friendly hand.,website userfriendly hand,0.0,0.615,0.0,0.385,0.4939,Positive,[]
86,"It's a side of general, well Romanian.",side general well romanian,0.5,0.412,0.0,0.588,0.2732,Positive,[]
87,Pleasant coloring is navigating me side here simple 4 how easy to do it as easily 100 on this website.,pleasant coloring navigate side simple 4 easy easily 100 website,0.7476190476190476,0.551,0.0,0.449,0.8225,Positive,[]
88,Which skin was easy was to book a date.,skin easy book date,0.8333333333333334,0.492,0.0,0.508,0.4404,Positive,[]
89,Confusing experience really.,confusing experience really,0.30000000000000004,0.0,0.487,0.513,-0.2263,Negative,[]
