,Sentence,Pre-processed sentence,textblob-subjectivity,textblob-score,vader-pos,textblob-polarity,vader-neg,vader-neu,vader-compound,vader-polarity
22,,  trouble,0.2,-0.2,0.0,,1.0,0.0,-0.4019,
23,, ,0.0,0.0,0.0,,0.0,0.0,0.0,
24,,  course uh,0.0,0.0,0.0,,0.0,1.0,0.0,
25,,  free booking management period expire,0.8,0.4,0.452,,0.0,0.548,0.5106,
26,,  expiry period deadline cancellation fee require expiry period deadline,0.0,0.0,0.0,,0.0,1.0,0.0,
27,,  day go cancel go change deadline not know poor poor patient would understand old kind keep deadline continue payment obligation,0.575,-0.025000000000000022,0.321,,0.075,0.604,0.7585,
28,,  card cancel,0.0,0.0,0.0,,0.667,0.333,-0.25,
29,,  already end day uh nod,0.0,0.0,0.0,,0.0,1.0,0.0,
30,,  nothing change term nothing want another term end really not know go not know gunshot like capital letter not like,0.2,-0.1,0.0,,0.242,0.758,-0.5334,
31,,  look not sure average intelligent person look around guess might one everyone not know not even make,0.7296296296296295,0.13333333333333333,0.0,,0.228,0.772,-0.5334,
32,,  thanks,0.2,0.2,1.0,,0.0,0.0,0.4404,
33,,  would not kill euro,0.0,0.0,0.555,,0.0,0.445,0.5773,
34,,  also understand doctor something example good reason probably not let change probably possibility good reason talk reason sick something like not pay probably no way,0.6857142857142858,0.22857142857142854,0.34,,0.098,0.562,0.7339,
35,,  think pk,0.0,0.0,0.0,,0.0,1.0,0.0,
36,,  think adjustment deadline different thing uh edit not put anywhere new date,0.5272727272727272,0.06818181818181818,0.0,,0.0,1.0,0.0,
37,,  not understand click new term,0.45454545454545453,0.13636363636363635,0.0,,0.0,1.0,0.0,
38,,  tie fact really really two day say nowhere else example go cancel not get metal sick bowl kid get sick go get de facto apology doctor compelling reason,0.6285714285714286,-0.23214285714285715,0.17,,0.155,0.674,-0.1275,
39,,  get leg,0.0,0.0,0.0,,0.0,1.0,0.0,
40,,  go go chicken go break leg not come already cost would love come not come stankovian not know,0.7749999999999999,-0.04999999999999999,0.198,,0.0,0.802,0.6369,
41,,  well register easy,0.8333333333333334,0.43333333333333335,0.833,,0.0,0.167,0.6124,
42,,  specialization probably write not cardiologist online term online term yes specialty cardio search crazy put cardio look,0.9,-0.6,0.134,,0.119,0.746,0.0772,
43,,  guess sorted,0.0,0.0,0.0,,0.0,1.0,0.0,
44,,  hey,0.0,0.0,0.0,,0.0,1.0,0.0,
45,,  closer date,0.0,0.0,0.0,,0.0,1.0,0.0,
46,,  uh uh uh suppose fill something registered,0.0,0.0,0.0,,0.0,1.0,0.0,
47,,  uh,0.0,0.0,0.0,,0.0,1.0,0.0,
48,,  take tomorrow pk,0.0,0.0,0.0,,0.0,1.0,0.0,
49,,  not wait another singer not know would look,0.0,0.0,0.0,,0.0,1.0,0.0,
50,,  question contact contact possible consult result previous examination hrahranica else order contact another read well accept probably info,0.5833333333333334,-0.08333333333333333,0.227,,0.0,0.773,0.5719,
51,,  uh slightly complicate think would work totally cool okay,0.4388888888888889,0.22777777777777777,0.405,,0.0,0.595,0.5819,
52,,  thanks,0.2,0.2,1.0,,0.0,0.0,0.4404,
53,,  registration register german contact not know give email call regular person statement time not give time give read uh uh,0.038461538461538464,0.0,0.0,,0.0,1.0,0.0,
54,,  hmm like probably,0.0,0.0,0.556,,0.0,0.444,0.3612,
55,,  current address profile want patient know change information well shall fix make fun,0.30000000000000004,0.15,0.401,,0.0,0.599,0.6908,
56,,  well edit uh street write alices city number bla bla save save uh message send order patient send,0.0,0.0,0.412,,0.0,0.588,0.8316,
57,,  would give patient nebula not osusky good day not good day dear patient would like inform planned piece,0.6000000000000001,0.175,0.106,,0.298,0.596,-0.5417,
58,,  date break act would write,0.0,0.0,0.0,,0.0,1.0,0.0,
59,,  leave go look patient patient thought,0.0,0.0,0.0,,0.194,0.806,-0.0516,
60,,  announcements would go patient,0.0,0.0,0.0,,0.0,1.0,0.0,
61,,  would go expect patient anyone write,0.0,0.0,0.0,,0.0,1.0,0.0,
62,,  certainly would not go news send patient message ear would go patient place look push button notify patient send message patient something,0.5714285714285714,0.21428571428571427,0.103,,0.0,0.897,0.34,
63,,  certainly would not go news go would talk,0.5714285714285714,0.21428571428571427,0.255,,0.0,0.745,0.34,
64,,  get,0.0,0.0,0.0,,0.0,1.0,0.0,
65,,  everything clear surprise translation hr,0.3833333333333333,0.10000000000000002,0.61,,0.0,0.39,0.5719,
66,,  like photo example nothing like,0.0,0.0,0.329,,0.277,0.394,0.1002,
67,,  uh not know big,0.1,0.0,0.0,,0.0,1.0,0.0,
68,,  well visible substrate,0.0,0.0,0.512,,0.0,0.488,0.2732,
69,,  good easy read work fast read every time always read review doctor,0.6777777777777779,0.4444444444444444,0.367,,0.0,0.633,0.7003,
70,,  people write happy fact option thing doctor somehow edit doctor delete bad review profile example would untrustworthy would useless could,0.6222222222222221,-0.13333333333333328,0.137,,0.233,0.63,-0.3818,
71,,  uh comment,0.0,0.0,0.0,,0.0,1.0,0.0,
72,,  might give something answer not know comment,0.0,0.0,0.0,,0.0,1.0,0.0,
73,,  yes set example welcome could also discussion would ask people frequently ask question concern something not,0.6,0.45,0.289,,0.0,0.711,0.6908,
74,,  shall read not write doctor,0.0,0.0,0.0,,0.0,1.0,0.0,
75,,  go find kind discussion debate doctor already answer patient kind wonder understand go discussion forum doctor specialty ask right,0.7785714285714286,0.49523809523809526,0.286,,0.0,0.714,0.7783,
76,,  question quickly doctor would answer example one see next free date week would two week away week,0.43333333333333335,0.24444444444444446,0.171,,0.0,0.829,0.5106,
77,,  math eye could read someone already deal make least happy would wait two week not find would never do,0.7,0.25,0.0,,0.143,0.857,-0.4585,
78,,  not like not like not like like go slowly load awful long time would not like shake lo,0.6,-0.45,0.202,,0.366,0.432,-0.6333,
79,,  good thing not not useless article not not useless not know,0.3333333333333333,0.39999999999999997,0.195,,0.267,0.538,-0.0184,
80,,  thing would go discussion sure not not someone give go buy vitamin would probably go make fun ask not like fine no,0.5296296296296296,0.4055555555555556,0.33,,0.126,0.544,0.7172,
81,,  hour half away quick,0.3333333333333333,0.08333333333333333,0.0,,0.0,1.0,0.0,
82,,  flight appropriate,0.5,0.5,0.0,,0.0,1.0,0.0,
83,,  well likely site long time,0.7,-0.025,0.344,,0.0,0.656,0.2732,
84,,  think parent like well site together right side,0.5357142857142857,0.2857142857142857,0.434,,0.0,0.566,0.5574,
85,,  website user friendly hand,0.5,0.375,0.762,,0.0,0.238,0.7506,
86,,  side general well romanian,0.5,0.05000000000000002,0.412,,0.0,0.588,0.2732,
87,,  pleasant coloring navigate side simple easy easily website,0.7476190476190476,0.39999999999999997,0.632,,0.0,0.368,0.8225,
88,,  skin easy book date,0.8333333333333334,0.43333333333333335,0.492,,0.0,0.508,0.4404,
89,, ,0.0,0.0,0.0,,0.0,0.0,0.0,
