,n-gram,textblob-score,textblob-subjectivity,vader-pos,vader-neg,vader-neu,vader-compound
39,well total number recovered patient,0,0.75,0.552,0,0.448,0.4005
40,total number recovered patient let,0,0.75,0.285,0,0.715,0.1513
41,number recovered patient let us,0,0,0.245,0,0.755,0.0772
42,recovered patient let us increase,0,0,0.365,0,0.635,0.3182
43,patient let us increase except,0,0,0.365,0,0.635,0.3182
44,let us increase except fix,0,0,0.365,0,0.635,0.3182
45,us increase except fix no,0,0,0.307,0.293,0.4,0.0258
46,increase except fix no number,0,0,0.353,0.187,0.46,0.2681
47,except fix no number okay,0.5,0.5,0,0.49,0.51,-0.2235
48,fix no number okay lot,0.5,0.5,0,0.49,0.51,-0.2235
49,no number okay lot vaccinated,0.5,0.5,0,0.49,0.51,-0.2235
50,number okay lot vaccinated people,0.5,0.5,0.516,0,0.484,0.296
51,okay lot vaccinated people i,0.5,0.5,0.322,0,0.678,0.2263
52,lot vaccinated people i be,0,0,0,0,1,0
53,vaccinated people i be learn,0,0,0,0,1,0
54,people i be learn much,0.2,0.2,0,0,1,0
55,i be learn much already,0.2,0.2,0,0,1,0
56,be learn much already okay,0.35,0.35,0.322,0,0.678,0.2263
57,learn much already okay i,0.35,0.35,0.322,0,0.678,0.2263
58,much already okay i be,0.35,0.35,0.322,0,0.678,0.2263
59,already okay i be travel,0.5,0.5,0.322,0,0.678,0.2263
60,okay i be travel i,0.5,0.5,0.322,0,0.678,0.2263
61,i be travel i not,0,0,0,0,1,0
62,be travel i not need,0,0,0,0,1,0
63,travel i not need travel,0,0,0,0,1,0
64,i not need travel i,0,0,0,0,1,0
65,not need travel i be,0,0,0,0,1,0
66,need travel i be assume,0,0,0,0,1,0
67,travel i be assume not,0,0,0,0,1,0
68,i be assume not need,0,0,0,0,1,0
69,be assume not need register,0,0,0,0,1,0
70,assume not need register maybe,0,0,0,0,1,0
71,not need register maybe oh,0,0,0,0,1,0
72,need register maybe oh okay,0.5,0.5,0.322,0,0.678,0.2263
73,register maybe oh okay read,0.5,0.5,0.322,0,0.678,0.2263
74,maybe oh okay read travel,0.5,0.5,0.322,0,0.678,0.2263
75,oh okay read travel cool,0.425,0.575,0.583,0,0.417,0.4939
76,okay read travel cool like,0.425,0.575,0.77,0,0.23,0.6908
77,read travel cool like little,0.08125,0.575,0.615,0,0.385,0.5859
78,travel cool like little bit,0.08125,0.575,0.615,0,0.385,0.5859
79,cool like little bit small,-0.029166667,0.516666667,0.615,0,0.385,0.5859
80,like little bit small i,-0.21875,0.45,0.385,0,0.615,0.3612
81,little bit small i figure,-0.21875,0.45,0,0,1,0
82,bit small i figure okay,0.125,0.45,0.322,0,0.678,0.2263
83,small i figure okay current,0.083333333,0.433333333,0.322,0,0.678,0.2263
84,i figure okay current measure,0.25,0.45,0.322,0,0.678,0.2263
85,figure okay current measure travel,0.25,0.45,0.322,0,0.678,0.2263
86,okay current measure travel immigration,0.25,0.45,0.322,0,0.678,0.2263
87,current measure travel immigration let,0,0.4,0,0,1,0
88,measure travel immigration let us,0,0,0,0,1,0
89,travel immigration let us see,0,0,0,0,1,0
90,immigration let us see current,0,0.4,0,0,1,0
91,let us see current measure,0,0.4,0,0,1,0
92,us see current measure rule,0,0.4,0,0,1,0
93,see current measure rule establishment,0,0.4,0,0,1,0
94,current measure rule establishment wear,0,0.4,0,0,1,0
95,measure rule establishment wear face,0,0,0,0,1,0
96,rule establishment wear face mask,0,0,0,0,1,0
97,establishment wear face mask respirator,0,0,0,0,1,0
98,wear face mask respirator let,0,0,0,0,1,0
99,face mask respirator let us,0,0,0,0,1,0
100,mask respirator let us learn,0,0,0,0,1,0
101,respirator let us learn i,0,0,0,0,1,0
102,let us learn i be,0,0,0,0,1,0
103,us learn i be i,0,0,0,0,1,0
104,learn i be i be,0,0,0,0,1,0
105,i be i be interested,0.25,0.5,0.403,0,0.597,0.4019
106,be i be interested actually,0.125,0.3,0.403,0,0.597,0.4019
107,i be interested actually face,0.125,0.3,0.403,0,0.597,0.4019
108,be interested actually face mask,0.125,0.3,0.403,0,0.597,0.4019
109,interested actually face mask oh,0.125,0.3,0.403,0,0.597,0.4019
110,actually face mask oh depend,0,0.1,0,0,1,0
111,face mask oh depend degree,0,0,0,0,1,0
112,mask oh depend degree warning,0,0,0,0.375,0.625,-0.34
113,oh depend degree warning accord,0,0,0,0.375,0.625,-0.34
114,depend degree warning accord covid,0,0,0,0.375,0.625,-0.34
115,degree warning accord covid automation,0,0,0,0.375,0.625,-0.34
116,warning accord covid automation interest,0,0,0.357,0.286,0.357,0.1531
117,accord covid automation interest different,0,0.6,0.429,0,0.571,0.4588
118,covid automation interest different i,0,0.6,0.429,0,0.571,0.4588
119,automation interest different i be,0,0.6,0.429,0,0.571,0.4588
120,interest different i be okay,0.25,0.55,0.62,0,0.38,0.5994
121,different i be okay rules,0.25,0.55,0.322,0,0.678,0.2263
122,i be okay rules indoors,0.5,0.5,0.322,0,0.678,0.2263
123,be okay rules indoors interesting,0.5,0.5,0.605,0,0.395,0.5574
124,okay rules indoors interesting interest,0.5,0.5,0.792,0,0.208,0.765
125,rules indoors interesting interest lot,0.5,0.5,0.655,0,0.345,0.6908
126,indoors interesting interest lot bullet,0.5,0.5,0.655,0,0.345,0.6908
127,interesting interest lot bullet point,0.5,0.5,0.655,0,0.345,0.6908
128,interest lot bullet point lot,0,0,0.429,0,0.571,0.4588
129,lot bullet point lot rule,0,0,0,0,1,0
130,bullet point lot rule i,0,0,0,0,1,0
131,point lot rule i be,0,0,0,0,1,0
132,lot rule i be assume,0,0,0,0,1,0
133,rule i be assume country,0,0,0,0,1,0
134,i be assume country rolls,0,0,0,0,1,0
135,be assume country rolls outdoors,0,0,0,0,1,0
136,assume country rolls outdoors interesting,0.5,0.5,0.403,0,0.597,0.4019
137,country rolls outdoors interesting okay,0.5,0.5,0.605,0,0.395,0.5574
138,rolls outdoors interesting okay child,0.5,0.5,0.605,0,0.395,0.5574
139,outdoors interesting okay child age,0.5,0.5,0.605,0,0.395,0.5574
140,interesting okay child age six,0.5,0.5,0.605,0,0.395,0.5574
141,okay child age six year,0.5,0.5,0.322,0,0.678,0.2263
142,child age six year i,0,0,0,0,1,0
143,age six year i not,0,0,0,0,1,0
144,six year i not know,0,0,0,0,1,0
145,year i not know okay,0.5,0.5,0,0.294,0.706,-0.1695
146,i not know okay let,0.5,0.5,0,0.294,0.706,-0.1695
147,not know okay let us,0.5,0.5,0,0.294,0.706,-0.1695
148,know okay let us say,0.5,0.5,0.322,0,0.678,0.2263
149,okay let us say i,0.5,0.5,0.322,0,0.678,0.2263
150,let us say i want,0,0,0.245,0,0.755,0.0772
151,us say i want visit,0,0,0.245,0,0.755,0.0772
152,say i want visit i,0,0,0.245,0,0.755,0.0772
153,i want visit i travel,0,0,0.245,0,0.755,0.0772
154,want visit i travel immigration,0,0,0.245,0,0.755,0.0772
155,visit i travel immigration i,0,0,0,0,1,0
156,i travel immigration i would,0,0,0,0,1,0
157,travel immigration i would traveling,0,0,0,0,1,0
158,immigration i would traveling slovakia,0,0,0,0,1,0
159,i would traveling slovakia i,0,0,0,0,1,0
160,would traveling slovakia i would,0,0,0,0,1,0
161,traveling slovakia i would need,0,0,0,0,1,0
162,slovakia i would need foreign,-0.125,0.125,0,0,1,0
163,i would need foreign affair,-0.125,0.125,0,0,1,0
164,would need foreign affair okay,0.1875,0.3125,0.322,0,0.678,0.2263
165,need foreign affair okay let,0.1875,0.3125,0.322,0,0.678,0.2263
166,foreign affair okay let us,0.1875,0.3125,0.322,0,0.678,0.2263
167,affair okay let us start,0.5,0.5,0.322,0,0.678,0.2263
168,okay let us start travel,0.5,0.5,0.322,0,0.678,0.2263
169,let us start travel slovakia,0,0,0,0,1,0
170,us start travel slovakia border,0,0,0,0,1,0
171,start travel slovakia border regime,0,0,0,0,1,0
172,travel slovakia border regime slovakia,0,0,0,0,1,0
173,slovakia border regime slovakia okay,0.5,0.5,0.322,0,0.678,0.2263
174,border regime slovakia okay regulation,0.5,0.5,0.322,0,0.678,0.2263
175,regime slovakia okay regulation valid,0.5,0.5,0.322,0,0.678,0.2263
176,slovakia okay regulation valid july,0.5,0.5,0.322,0,0.678,0.2263
177,okay regulation valid july quite,0.5,0.5,0.322,0,0.678,0.2263
178,regulation valid july quite back,0,0,0,0,1,0
179,valid july quite back i,0,0,0,0,1,0
180,july quite back i be,0,0,0,0,1,0
181,quite back i be october,0,0,0,0,1,0
182,back i be october general,0.025,0.25,0,0,1,0
183,i be october general rule,0.05,0.5,0,0,1,0
184,be october general rule arrival,0.05,0.5,0,0,1,0
185,october general rule arrival abroad,0.05,0.5,0,0,1,0
186,general rule arrival abroad no,0.05,0.5,0,0.355,0.645,-0.296
187,rule arrival abroad no later,0,0,0,0.355,0.645,-0.296
188,arrival abroad no later upon,0,0,0,0.355,0.645,-0.296
189,abroad no later upon entry,0,0,0,0.355,0.645,-0.296
190,no later upon entry territory,0,0,0,0.355,0.645,-0.296
191,later upon entry territory slovak,0,0,0,0,1,0
192,upon entry territory slovak republic,0,0,0,0,1,0
193,entry territory slovak republic people,0,0,0,0,1,0
194,territory slovak republic people arrive,0,0,0,0,1,0
195,slovak republic people arrive luckiness,0,0,0.333,0,0.667,0.25
196,republic people arrive luckiness register,0,0,0.333,0,0.667,0.25
197,people arrive luckiness register okay,0.5,0.5,0.565,0,0.435,0.4404
198,arrive luckiness register okay i,0.5,0.5,0.565,0,0.435,0.4404
199,luckiness register okay i i,0.5,0.5,0.565,0,0.435,0.4404
200,register okay i i would,0.5,0.5,0.322,0,0.678,0.2263
201,okay i i would register,0.5,0.5,0.322,0,0.678,0.2263
202,i i would register air,0,0,0,0,1,0
203,i would register air also,0,0,0,0,1,0
204,would register air also oblige,0,0,0,0,1,0
205,register air also oblige fill,0,0,0,0,1,0
206,air also oblige fill form,0,0,0,0,1,0
207,also oblige fill form passenger,0,0,0,0,1,0
208,oblige fill form passenger location,0,0,0,0,1,0
209,fill form passenger location oh,0,0,0,0,1,0
210,form passenger location oh okay,0.5,0.5,0.322,0,0.678,0.2263
211,passenger location oh okay i,0.5,0.5,0.322,0,0.678,0.2263
212,location oh okay i wonder,0.5,0.5,0.322,0,0.678,0.2263
213,oh okay i wonder passenger,0.5,0.5,0.322,0,0.678,0.2263
214,okay i wonder passenger location,0.5,0.5,0.322,0,0.678,0.2263
215,i wonder passenger location oh,0,0,0,0,1,0
216,wonder passenger location oh arrive,0,0,0,0,1,0
217,passenger location oh arrive country,0,0,0,0,1,0
218,location oh arrive country not,0,0,0,0,1,0
219,oh arrive country not list,0,0,0,0,1,0
220,arrive country not list city,0,0,0,0,1,0
221,country not list city i,0,0,0,0,1,0
222,not list city i be,0,0,0,0,1,0
223,list city i be assume,0,0,0,0,1,0
224,city i be assume country,0,0,0,0,1,0
225,i be assume country come,0,0,0,0,1,0
226,be assume country come airport,0,0,0,0,1,0
227,assume country come airport land,0,0,0,0,1,0
228,country come airport land i,0,0,0,0,1,0
229,come airport land i think,0,0,0,0,1,0
230,airport land i think country,0,0,0,0,1,0
231,land i think country would,0,0,0,0,1,0
232,i think country would make,0,0,0,0,1,0
233,think country would make would,0,0,0,0,1,0
234,country would make would make,0,0,0,0,1,0
235,would make would make sense,0,0,0,0,1,0
236,make would make sense unvaccinated,0,0,0,0,1,0
237,would make sense unvaccinated people,0,0,0,0,1,0
238,make sense unvaccinated people enter,0,0,0,0,1,0
239,sense unvaccinated people enter territory,0,0,0,0,1,0
240,unvaccinated people enter territory slovak,0,0,0,0,1,0
241,people enter territory slovak republic,0,0,0,0,1,0
242,enter territory slovak republic july,0,0,0,0,1,0
243,territory slovak republic july six,0,0,0,0,1,0
244,slovak republic july six be,0,0,0,0,1,0
245,republic july six be self,0,0,0,0,1,0
246,july six be self isolation,0,0,0,0.403,0.597,-0.4019
247,six be self isolation okay,0.5,0.5,0.25,0.355,0.395,-0.2023
248,be self isolation okay good,0.6,0.55,0.505,0.284,0.211,0.2732
249,self isolation okay good thing,0.6,0.55,0.505,0.284,0.211,0.2732
250,isolation okay good thing definitely,0.4,0.533333333,0.67,0.241,0.089,0.5859
251,okay good thing definitely information,0.4,0.533333333,0.789,0,0.211,0.7579
252,good thing definitely information i,0.35,0.55,0.651,0,0.349,0.6808
253,thing definitely information i be,0,0.5,0.403,0,0.597,0.4019
254,definitely information i be always,0,0.5,0.403,0,0.597,0.4019
255,information i be always look,0,0,0,0,1,0
256,i be always look i,0,0,0,0,1,0
257,be always look i be,0,0,0,0,1,0
258,always look i be go,0,0,0,0,1,0
259,look i be go travel,0,0,0,0,1,0
260,i be go travel somewhere,0,0,0,0,1,0
261,be go travel somewhere good,0.7,0.6,0.42,0,0.58,0.4404
262,go travel somewhere good right,0.492857143,0.567857143,0.42,0,0.58,0.4404
263,travel somewhere good right i,0.492857143,0.567857143,0.42,0,0.58,0.4404
264,somewhere good right i love,0.495238095,0.578571429,0.703,0,0.297,0.7964
265,good right i love vaccinate,0.495238095,0.578571429,0.703,0,0.297,0.7964
266,right i love vaccinate person,0.392857143,0.567857143,0.512,0,0.488,0.6369
267,i love vaccinate person okay,0.5,0.55,0.67,0,0.33,0.7269
268,love vaccinate person okay interest,0.5,0.55,0.82,0,0.18,0.8442
269,vaccinate person okay interest person,0.5,0.5,0.62,0,0.38,0.5994
270,person okay interest person non,0.5,0.5,0.62,0,0.38,0.5994
271,okay interest person non vaccinate,0.5,0.5,0.62,0,0.38,0.5994
272,interest person non vaccinate tuck,0,0,0.429,0,0.571,0.4588
273,person non vaccinate tuck also,0,0,0,0,1,0
274,non vaccinate tuck also interesting,0.5,0.5,0.403,0,0.597,0.4019
275,vaccinate tuck also interesting much,0.35,0.35,0.403,0,0.597,0.4019
276,tuck also interesting much information,0.35,0.35,0.403,0,0.597,0.4019
277,also interesting much information least,0.133333333,0.366666667,0.403,0,0.597,0.4019
278,interesting much information least day,0.133333333,0.366666667,0.403,0,0.597,0.4019
279,much information least day not,-0.05,0.3,0,0,1,0
280,information least day not month,-0.3,0.4,0,0,1,0
281,least day not month administration,-0.3,0.4,0,0,1,0
282,day not month administration second,0,0,0,0,1,0
283,not month administration second dose,0,0,0,0,1,0
284,month administration second dose day,0,0,0,0,1,0
285,administration second dose day not,0,0,0,0,1,0
286,second dose day not month,0,0,0,0,1,0
287,dose day not month administration,0,0,0,0,1,0
288,day not month administration single,-0.071428571,0.214285714,0,0,1,0
289,not month administration single dose,-0.071428571,0.214285714,0,0,1,0
290,month administration single dose vaccine,-0.071428571,0.214285714,0,0,1,0
291,administration single dose vaccine okay,0.214285714,0.357142857,0.322,0,0.678,0.2263
292,single dose vaccine okay lot,0.214285714,0.357142857,0.322,0,0.678,0.2263
293,dose vaccine okay lot different,0.25,0.55,0.322,0,0.678,0.2263
294,vaccine okay lot different rule,0.25,0.55,0.322,0,0.678,0.2263
295,okay lot different rule requirement,0.25,0.55,0.322,0,0.678,0.2263
296,lot different rule requirement ii,0,0.6,0,0,1,0
297,different rule requirement ii okay,0.25,0.55,0.322,0,0.678,0.2263
298,rule requirement ii okay right,0.392857143,0.517857143,0.322,0,0.678,0.2263
299,requirement ii okay right website,0.392857143,0.517857143,0.322,0,0.678,0.2263
300,ii okay right website i,0.392857143,0.517857143,0.322,0,0.678,0.2263
301,okay right website i like,0.392857143,0.517857143,0.595,0,0.405,0.5267
302,right website i like link,0.285714286,0.535714286,0.385,0,0.615,0.3612
303,website i like link previously,-0.166666667,0.166666667,0.385,0,0.615,0.3612
304,i like link previously link,-0.166666667,0.166666667,0.385,0,0.615,0.3612
305,like link previously link lot,-0.166666667,0.166666667,0.385,0,0.615,0.3612
306,link previously link lot actually,-0.083333333,0.133333333,0,0,1,0
307,previously link lot actually cool,0.091666667,0.408333333,0.365,0,0.635,0.3182
308,link lot actually cool no,0.35,0.65,0.307,0.293,0.4,0.0258
309,lot actually cool no test,0.35,0.65,0.307,0.293,0.4,0.0258
310,actually cool no test require,0.35,0.65,0.307,0.293,0.4,0.0258
311,cool no test require country,0.35,0.65,0.307,0.293,0.4,0.0258
312,no test require country interest,0,0,0.366,0.268,0.366,0.2023
313,test require country interest i,0,0,0.429,0,0.571,0.4588
314,require country interest i not,0,0,0.429,0,0.571,0.4588
315,country interest i not see,0,0,0.429,0,0.571,0.4588
316,interest i not see oh,0,0,0.429,0,0.571,0.4588
317,i not see oh no,0,0,0.321,0,0.679,0.2235
318,not see oh no i,0,0,0.321,0,0.679,0.2235
319,see oh no i see,0,0,0,0.355,0.645,-0.296
320,oh no i see right,0.285714286,0.535714286,0,0.355,0.645,-0.296
321,no i see right okay,0.392857143,0.517857143,0.268,0.31,0.423,-0.0772
322,i see right okay i,0.392857143,0.517857143,0.322,0,0.678,0.2263
323,see right okay i jump,0.392857143,0.517857143,0.322,0,0.678,0.2263
324,right okay i jump conclusion,0.392857143,0.517857143,0.322,0,0.678,0.2263
325,okay i jump conclusion let,0.5,0.5,0.322,0,0.678,0.2263
326,i jump conclusion let us,0,0,0,0,1,0
327,jump conclusion let us see,0,0,0,0,1,0
328,conclusion let us see okay,0.5,0.5,0.322,0,0.678,0.2263
329,let us see okay registration,0.5,0.5,0.322,0,0.678,0.2263
330,us see okay registration vaccine,0.5,0.5,0.322,0,0.678,0.2263
331,see okay registration vaccine information,0.5,0.5,0.322,0,0.678,0.2263
332,okay registration vaccine information really,0.35,0.35,0.322,0,0.678,0.2263
333,registration vaccine information really good,0.7,0.6,0.444,0,0.556,0.4927
334,vaccine information really good i,0.7,0.6,0.444,0,0.556,0.4927
335,information really good i would,0.7,0.6,0.444,0,0.556,0.4927
336,really good i would imagine,0.7,0.6,0.444,0,0.556,0.4927
337,good i would imagine i,0.7,0.6,0.42,0,0.58,0.4404
338,i would imagine i would,0,0,0,0,1,0
339,would imagine i would need,0,0,0,0,1,0
340,imagine i would need let,0,0,0,0,1,0
341,i would need let us,0,0,0,0,1,0
342,would need let us go,0,0,0,0,1,0
343,need let us go back,0,0,0,0,1,0
344,let us go back homepage,0,0,0,0,1,0
345,us go back homepage see,0,0,0,0,1,0
346,go back homepage see anything,0,0,0,0,1,0
347,back homepage see anything else,0,0,0,0,1,0
348,homepage see anything else i,0,0,0,0,1,0
349,see anything else i would,0,0,0,0,1,0
350,anything else i would need,0,0,0,0,1,0
351,else i would need know,0,0,0,0,1,0
352,i would need know i,0,0,0,0,1,0
353,would need know i i,0,0,0,0,1,0
354,need know i i know,0,0,0,0,1,0
355,know i i know prevent,0,0,0.216,0,0.784,0.0258
356,i i know prevent infection,0,0,0.216,0,0.784,0.0258
357,i know prevent infection symptom,0,0,0.216,0,0.784,0.0258
358,know prevent infection symptom coronavirus,0,0,0.216,0,0.784,0.0258
359,prevent infection symptom coronavirus i,0,0,0.216,0,0.784,0.0258
360,infection symptom coronavirus i overwrite,0,0,0,0,1,0
361,symptom coronavirus i overwrite one,0,0,0,0,1,0
362,coronavirus i overwrite one take,0,0,0,0,1,0
363,i overwrite one take me,0,0,0,0,1,0
364,overwrite one take me different,0,0.6,0,0,1,0
365,one take me different website,0,0.6,0,0,1,0
366,take me different website cool,0.175,0.625,0.365,0,0.635,0.3182
367,me different website cool okay,0.283333333,0.583333333,0.583,0,0.417,0.4939
368,different website cool okay ministry,0.283333333,0.583333333,0.583,0,0.417,0.4939
369,website cool okay ministry foreign,0.241666667,0.425,0.583,0,0.417,0.4939
370,cool okay ministry foreign affairs,0.241666667,0.425,0.583,0,0.417,0.4939
371,okay ministry foreign affairs i,0.1875,0.3125,0.322,0,0.678,0.2263
372,ministry foreign affairs i be,-0.125,0.125,0,0,1,0
373,foreign affairs i be gon,-0.125,0.125,0,0,1,0
374,affairs i be gon na,0,0,0,0,1,0
375,i be gon na let,0,0,0,0,1,0
376,be gon na let load,0,0,0,0,1,0
377,gon na let load okay,0.5,0.5,0.322,0,0.678,0.2263
378,na let load okay i,0.5,0.5,0.322,0,0.678,0.2263
379,let load okay i go,0.5,0.5,0.322,0,0.678,0.2263
380,load okay i go back,0.25,0.25,0.322,0,0.678,0.2263
381,okay i go back information,0.25,0.25,0.322,0,0.678,0.2263
382,i go back information i,0,0,0,0,1,0
383,go back information i need,0,0,0,0,1,0
384,back information i need seem,0,0,0,0,1,0
385,information i need seem like,0,0,0.385,0,0.615,0.3612
386,i need seem like great,0.8,0.75,0.688,0,0.312,0.765
387,need seem like great i,0.8,0.75,0.688,0,0.312,0.765
388,seem like great i be,0.8,0.75,0.688,0,0.312,0.765
389,like great i be pretty,0.525,0.875,0.831,0,0.169,0.8689
390,great i be pretty impressed,0.683333333,0.916666667,0.839,0,0.161,0.886
391,i be pretty impressed i,0.625,1,0.677,0,0.323,0.743
392,be pretty impressed i think,0.625,1,0.677,0,0.323,0.743
393,pretty impressed i think ton,0.625,1,0.677,0,0.323,0.743
394,impressed i think ton information,1,1,0.437,0,0.563,0.4767
395,i think ton information also,0,0,0,0,1,0
396,think ton information also similar,0,0.4,0,0,1,0
397,ton information also similar lot,0,0.4,0,0,1,0
398,information also similar lot government,0,0.4,0,0,1,0
399,also similar lot government website,0,0.4,0,0,1,0
400,similar lot government website set,0,0.4,0,0,1,0
401,lot government website set oh,0,0,0,0,1,0
402,government website set oh interesting,0.5,0.5,0.403,0,0.597,0.4019
403,website set oh interesting permission,0.5,0.5,0.403,0,0.597,0.4019
404,set oh interesting permission exemption,0.5,0.5,0.403,0,0.597,0.4019
405,oh interesting permission exemption compulsory,0.5,0.5,0.403,0,0.597,0.4019
406,interesting permission exemption compulsory home,0.5,0.5,0.403,0,0.597,0.4019
407,permission exemption compulsory home isolation,0,0,0,0.403,0.597,-0.4019
408,exemption compulsory home isolation commuters,0,0,0,0.403,0.597,-0.4019
409,compulsory home isolation commuters really,0.2,0.2,0,0.403,0.597,-0.4019
410,home isolation commuters really okay,0.5,0.5,0.278,0.342,0.38,-0.1298
411,isolation commuters really okay i,0.5,0.5,0.278,0.342,0.38,-0.1298
412,commuters really okay i be,0.5,0.5,0.354,0,0.646,0.2944
413,really okay i be wear,0.5,0.5,0.354,0,0.646,0.2944
414,okay i be wear lot,0.5,0.5,0.322,0,0.678,0.2263
415,i be wear lot beyond,0,0,0,0,1,0
416,be wear lot beyond i,0,0,0,0,1,0
417,wear lot beyond i would,0,0,0,0,1,0
418,lot beyond i would know,0,0,0,0,1,0
419,beyond i would know great,0.8,0.75,0.506,0,0.494,0.6249
420,i would know great i,0.8,0.75,0.506,0,0.494,0.6249
421,would know great i really,0.5,0.475,0.506,0,0.494,0.6249
422,know great i really like,0.5,0.475,0.697,0,0.303,0.7841
423,great i really like look,0.5,0.475,0.697,0,0.303,0.7841
424,i really like look like,0.2,0.2,0.649,0,0.351,0.6764
425,really like look like i,0.2,0.2,0.649,0,0.351,0.6764
426,like look like i find,0,0,0.625,0,0.375,0.6124
427,look like i find information,0,0,0.385,0,0.615,0.3612
428,like i find information i,0,0,0.385,0,0.615,0.3612
429,i find information i need,0,0,0,0,1,0
430,find information i need great,0.8,0.75,0.506,0,0.494,0.6249
431,information i need great website,0.8,0.75,0.506,0,0.494,0.6249
432,i need great website everything,0.8,0.75,0.506,0,0.494,0.6249
433,need great website everything i,0.8,0.75,0.506,0,0.494,0.6249
434,great website everything i look,0.8,0.75,0.506,0,0.494,0.6249
435,website everything i look try,0,0,0,0,1,0
436,everything i look try decide,0,0,0,0,1,0
437,i look try decide i,0,0,0,0,1,0
438,look try decide i need,0,0,0,0,1,0
439,try decide i need travel,0,0,0,0,1,0
440,decide i need travel statistic,0,0,0,0,1,0
441,i need travel statistic beginning,0,0,0,0,1,0
442,need travel statistic beginning little,-0.1875,0.5,0,0,1,0
443,travel statistic beginning little overwhelming,0.15625,0.75,0,0,1,0
444,statistic beginning little overwhelming many,0.270833333,0.666666667,0,0,1,0
445,beginning little overwhelming many way,0.270833333,0.666666667,0,0,1,0
446,little overwhelming many way get,0.270833333,0.666666667,0,0,1,0
447,overwhelming many way get travel,0.5,0.75,0,0,1,0
448,many way get travel information,0.5,0.5,0,0,1,0
449,way get travel information little,-0.1875,0.5,0,0,1,0
450,get travel information little small,-0.21875,0.45,0,0,1,0
451,travel information little small seem,-0.21875,0.45,0,0,1,0
452,information little small seem like,-0.21875,0.45,0.359,0,0.641,0.3041
453,little small seem like would,-0.21875,0.45,0.359,0,0.641,0.3041
454,small seem like would easy,0.091666667,0.616666667,0.643,0,0.357,0.6597
455,seem like would easy miss,0.433333333,0.833333333,0.6,0.178,0.222,0.5859
456,like would easy miss overall,0.216666667,0.416666667,0.6,0.178,0.222,0.5859
457,would easy miss overall though,0.216666667,0.416666667,0.387,0.213,0.4,0.3182
458,easy miss overall though enough,0.144444444,0.444444444,0.387,0.213,0.4,0.3182
459,miss overall though enough information,0,0.25,0,0.286,0.714,-0.1531
460,overall though enough information point,0,0.25,0,0,1,0
461,though enough information point i,0,0.5,0,0,1,0
462,enough information point i would,0,0.5,0,0,1,0
463,information point i would confident,0.5,0.833333333,0.444,0,0.556,0.4939
464,point i would confident i,0.5,0.833333333,0.444,0,0.556,0.4939
