,n-gram,textblob-score,textblob-subjectivity,vader-pos,vader-neg,vader-neu,vader-compound
58,to stop translating in,0.0,0.0,0.0,0.423,0.577,-0.296
59,stop translating in your,0.0,0.0,0.0,0.423,0.577,-0.296
60,translating in your head,0.0,0.0,0.0,0.0,1.0,0.0
61,in your head is,0.0,0.0,0.0,0.0,1.0,0.0
62,your head is to,0.0,0.0,0.0,0.0,1.0,0.0
63,head is to identify,0.0,0.0,0.0,0.0,1.0,0.0
64,is to identify the,0.0,0.0,0.0,0.0,1.0,0.0
65,to identify the objects,0.0,0.0,0.0,0.0,1.0,0.0
66,identify the objects around,0.0,0.0,0.0,0.0,1.0,0.0
67,the objects around you,0.0,0.0,0.0,0.0,1.0,0.0
68,objects around you in,0.0,0.0,0.0,0.0,1.0,0.0
69,around you in your,0.0,0.0,0.0,0.0,1.0,0.0
70,you in your target,0.0,0.0,0.0,0.0,1.0,0.0
71,in your target language,0.0,0.0,0.0,0.0,1.0,0.0
72,your target language so,0.0,0.0,0.0,0.0,1.0,0.0
73,target language so it,0.0,0.0,0.0,0.0,1.0,0.0
74,language so it 's,0.0,0.0,0.0,0.0,1.0,0.0
75,so it 's you,0.0,0.0,0.0,0.0,1.0,0.0
76,it 's you 're,0.0,0.0,0.0,0.0,1.0,0.0
77,'s you 're studying,0.0,0.0,0.0,0.0,1.0,0.0
78,you 're studying English,0.0,0.0,0.0,0.0,1.0,0.0
79,'re studying English that,0.0,0.0,0.0,0.0,1.0,0.0
80,studying English that means,0.0,0.0,0.0,0.0,1.0,0.0
81,English that means you,0.0,0.0,0.0,0.0,1.0,0.0
82,that means you look,0.0,0.0,0.0,0.0,1.0,0.0
83,means you look at,0.0,0.0,0.0,0.0,1.0,0.0
84,you look at the,0.0,0.0,0.0,0.0,1.0,0.0
85,look at the objects,0.0,0.0,0.0,0.0,1.0,0.0
86,at the objects around,0.0,0.0,0.0,0.0,1.0,0.0
87,the objects around the,0.0,0.0,0.0,0.0,1.0,0.0
88,objects around the room,0.0,0.0,0.0,0.0,1.0,0.0
89,around the room look,0.0,0.0,0.0,0.0,1.0,0.0
90,the room look at,0.0,0.0,0.0,0.0,1.0,0.0
91,room look at the,0.0,0.0,0.0,0.0,1.0,0.0
92,look at the things,0.0,0.0,0.0,0.0,1.0,0.0
93,at the things in,0.0,0.0,0.0,0.0,1.0,0.0
94,the things in your,0.0,0.0,0.0,0.0,1.0,0.0
95,things in your life,0.0,0.0,0.0,0.0,1.0,0.0
96,in your life do,0.0,0.0,0.0,0.0,1.0,0.0
97,your life do n't,0.0,0.0,0.0,0.0,1.0,0.0
98,life do n't think,0.0,0.0,0.0,0.0,1.0,0.0
99,do n't think of,0.0,0.0,0.0,0.0,1.0,0.0
100,n't think of them,0.0,0.0,0.0,0.0,1.0,0.0
101,think of them in,0.0,0.0,0.0,0.0,1.0,0.0
102,of them in your,0.0,0.0,0.0,0.0,1.0,0.0
103,them in your native,0.0,0.0,0.0,0.0,1.0,0.0
104,in your native language,0.0,0.0,0.0,0.0,1.0,0.0
105,your native language first,0.25,0.3333333333333333,0.0,0.0,1.0,0.0
106,native language first think,0.25,0.3333333333333333,0.0,0.0,1.0,0.0
107,language first think of,0.25,0.3333333333333333,0.0,0.0,1.0,0.0
108,first think of them,0.25,0.3333333333333333,0.0,0.0,1.0,0.0
109,think of them in,0.0,0.0,0.0,0.0,1.0,0.0
110,of them in your,0.0,0.0,0.0,0.0,1.0,0.0
111,them in your target,0.0,0.0,0.0,0.0,1.0,0.0
112,in your target language,0.0,0.0,0.0,0.0,1.0,0.0
113,your target language so,0.0,0.0,0.0,0.0,1.0,0.0
114,target language so if,0.0,0.0,0.0,0.0,1.0,0.0
115,language so if I,0.0,0.0,0.0,0.0,1.0,0.0
116,so if I look,0.0,0.0,0.0,0.0,1.0,0.0
117,if I look around,0.0,0.0,0.0,0.0,1.0,0.0
118,I look around the,0.0,0.0,0.0,0.0,1.0,0.0
119,look around the room,0.0,0.0,0.0,0.0,1.0,0.0
120,around the room I,0.0,0.0,0.0,0.0,1.0,0.0
121,the room I see,0.0,0.0,0.0,0.0,1.0,0.0
122,room I see a,0.0,0.0,0.0,0.0,1.0,0.0
123,I see a computer,0.0,0.0,0.0,0.0,1.0,0.0
124,see a computer I,0.0,0.0,0.0,0.0,1.0,0.0
125,a computer I should,0.0,0.0,0.0,0.0,1.0,0.0
126,computer I should n't,0.0,0.0,0.0,0.0,1.0,0.0
127,I should n't think,0.0,0.0,0.0,0.0,1.0,0.0
128,should n't think my,0.0,0.0,0.0,0.0,1.0,0.0
129,n't think my native,0.0,0.0,0.0,0.0,1.0,0.0
130,think my native language,0.0,0.0,0.0,0.0,1.0,0.0
131,my native language word,0.0,0.0,0.0,0.0,1.0,0.0
132,native language word I,0.0,0.0,0.0,0.0,1.0,0.0
133,language word I should,0.0,0.0,0.0,0.0,1.0,0.0
134,word I should think,0.0,0.0,0.0,0.0,1.0,0.0
135,I should think my,0.0,0.0,0.0,0.0,1.0,0.0
136,should think my target,0.0,0.0,0.0,0.0,1.0,0.0
137,think my target language,0.0,0.0,0.0,0.0,1.0,0.0
138,my target language where,0.0,0.0,0.0,0.0,1.0,0.0
139,target language where it,0.0,0.0,0.0,0.0,1.0,0.0
140,language where it says,0.0,0.0,0.0,0.0,1.0,0.0
141,where it says start,0.0,0.0,0.0,0.0,1.0,0.0
142,it says start with,0.0,0.0,0.0,0.0,1.0,0.0
143,says start with the,0.0,0.0,0.0,0.0,1.0,0.0
144,start with the items,0.0,0.0,0.0,0.0,1.0,0.0
145,with the items and,0.0,0.0,0.0,0.0,1.0,0.0
146,the items and the,0.0,0.0,0.0,0.0,1.0,0.0
147,items and the situations,0.0,0.0,0.0,0.0,1.0,0.0
148,and the situations in,0.0,0.0,0.0,0.0,1.0,0.0
149,the situations in your,0.0,0.0,0.0,0.0,1.0,0.0
150,situations in your everyday,-0.2,0.6,0.0,0.0,1.0,0.0
151,in your everyday life,-0.2,0.6,0.0,0.0,1.0,0.0
152,your everyday life if,-0.2,0.6,0.0,0.0,1.0,0.0
153,everyday life if I,-0.2,0.6,0.0,0.0,1.0,0.0
154,life if I say,0.0,0.0,0.0,0.0,1.0,0.0
155,if I say computer,0.0,0.0,0.0,0.0,1.0,0.0
156,I say computer in,0.0,0.0,0.0,0.0,1.0,0.0
157,say computer in English,0.0,0.0,0.0,0.0,1.0,0.0
158,computer in English maybe,0.0,0.0,0.0,0.0,1.0,0.0
159,in English maybe I,0.0,0.0,0.0,0.0,1.0,0.0
160,English maybe I should,0.0,0.0,0.0,0.0,1.0,0.0
161,maybe I should say,0.0,0.0,0.0,0.0,1.0,0.0
162,I should say computer,0.0,0.0,0.0,0.0,1.0,0.0
163,should say computer in,0.0,0.0,0.0,0.0,1.0,0.0
164,say computer in Japanese,0.0,0.0,0.0,0.0,1.0,0.0
165,computer in Japanese I,0.0,0.0,0.0,0.0,1.0,0.0
166,in Japanese I should,0.0,0.0,0.0,0.0,1.0,0.0
167,Japanese I should say,0.0,0.0,0.0,0.0,1.0,0.0
168,I should say not,0.0,0.0,0.0,0.0,1.0,0.0
169,should say not I,0.0,0.0,0.0,0.0,1.0,0.0
170,say not I do,0.0,0.0,0.0,0.0,1.0,0.0
171,not I do n't,0.0,0.0,0.0,0.0,1.0,0.0
172,I do n't know,0.0,0.0,0.0,0.0,1.0,0.0
173,do n't know water,0.0,0.0,0.0,0.0,1.0,0.0
174,n't know water if,0.0,0.0,0.0,0.0,1.0,0.0
