,Sentence,Pre-processed sentence,textblob-subjectivity,vader-pos,vader-neg,vader-neu,vader-compound,vader-polarity,sentiment-category
52,This border regime website like describe your understanding of the rules which apply at the ranks.,border regime website like describe understanding rule apply rank,0.9,0.238,0.0,0.762,0.3612,Positive,['Satisfaction']
53,"If I would find a number, here is a number.",would find number number,0.0,0.848,0.0,0.152,0.5574,Positive,
54,But the.,,0.0,0.0,0.0,0.0,0.0,Neutral,
55,Description here.,description,0.0,0.0,0.0,1.0,0.0,Neutral,
56,Looks OK. With this from where?,looks ok,0.5,0.688,0.0,0.312,0.296,Positive,
57,Baby.,baby,0.0,0.0,0.0,1.0,0.0,Neutral,
58,We need to click here.,need click,0.0,0.0,0.0,1.0,0.0,Neutral,
59,So you need to send it by email.,need send email,0.0,0.0,0.0,1.0,0.0,Neutral,
60,Or maybe.,maybe,0.0,0.0,0.0,1.0,0.0,Neutral,
61,What is Nicks?,nicks,0.0,0.0,0.0,1.0,0.0,Neutral,
62,Seeing her.,seeing,0.0,0.0,0.0,1.0,0.0,Neutral,
63,"OK, so there are looks like there are two farms.",ok look like two farm,0.5,0.61,0.0,0.39,0.5719,Positive,['Satisfaction']
64,"Uh, I honestly, I don't know exactly what this date difference.",uh honestly not know exactly date difference,0.575,0.286,0.237,0.477,0.1331,Positive,
65,Right there are two.,right two,0.5357142857142857,0.0,0.0,1.0,0.0,Neutral,
66,Uhm?,uhm,0.0,0.0,0.0,1.0,0.0,Neutral,
67,It looked like this man.,look like man,0.0,0.556,0.0,0.444,0.3612,Positive,['Satisfaction']
68,You need this man.,need man,0.0,0.0,0.0,1.0,0.0,Neutral,
69,If you are going to take another.,go take another,0.0,0.0,0.0,1.0,0.0,Neutral,
70,Shop maybe?,shop maybe,0.0,0.0,0.0,1.0,0.0,Neutral,
71,"Oh oh, you need to send both.",oh oh need send,0.0,0.0,0.0,1.0,0.0,Neutral,
72,It says in for information it's this one.,say information one,0.0,0.0,0.0,1.0,0.0,Neutral,
73,And also it says.,also say,0.0,0.0,0.0,1.0,0.0,Neutral,
74,This.,,0.0,0.0,0.0,0.0,0.0,Neutral,
75,"Just maybe last thing OK, you need to send both documents.",maybe last thing ok need send document,0.2833333333333333,0.268,0.0,0.732,0.296,Positive,
76,"On this address, so we need to fill them out and to fill them out.",address need fill fill,0.0,0.0,0.0,1.0,0.0,Neutral,
77,"It doesn't look complicated, this is just.",not look complicate,0.0,0.0,0.0,1.0,0.0,Neutral,
78,Something's done that.,somethings,0.0,0.0,0.0,1.0,0.0,Neutral,
79,So name.,name,0.0,0.0,0.0,1.0,0.0,Neutral,
80,Date of the OK OK phone number email OK. OK. OK.,date ok ok phone number email ok ok ok,0.5,0.804,0.0,0.196,0.8519,Positive,
81,I think there is no like issue to fill out this information.,think no like issue fill information,0.0,0.0,0.297,0.703,-0.2755,Negative,['Satisfaction']
82,Lately is empty.,lately empty,0.5,0.0,0.643,0.357,-0.2023,Negative,
83,Or maybe it will be if if.,maybe,0.0,0.0,0.0,1.0,0.0,Neutral,
84,You took the shot somewhere in Slovakia.,take shot somewhere slovakia,0.0,0.0,0.0,1.0,0.0,Neutral,
85,Maybe there is a number of the doctor which you would maybe put here.,maybe number doctor would maybe put,0.0,0.206,0.0,0.794,0.0772,Positive,
86,This would be maybe also on the.,would maybe also,0.0,0.0,0.0,1.0,0.0,Neutral,
87,Confirmation when you get some.,confirmation get,0.0,0.0,0.0,1.0,0.0,Neutral,
88,Paper from.,paper,0.0,0.0,0.0,1.0,0.0,Neutral,
89,"I don't know, probably also this.",not know probably also,0.0,0.0,0.453,0.547,-0.357,Negative,
90,So I guess all these would be on the.,guess would,0.0,0.0,0.0,1.0,0.0,Neutral,
91,Paper which you would get after the vaccination.,paper would get vaccination,0.0,0.0,0.0,1.0,0.0,Neutral,
92,"If not, then I don't know what do you want to fill out there.",not not know want fill,0.0,0.521,0.0,0.479,0.3093,Positive,
93,Is that hard tasks?,hard task,0.5416666666666666,0.0,0.583,0.417,-0.1027,Negative,
94,"You know, in your comprehension regarding this.",know comprehension regard,0.0,0.6,0.0,0.4,0.4588,Positive,
95,Yeah.,yeah,0.0,1.0,0.0,0.0,0.296,Positive,
96,I think it could be easier.,think could easy,0.8333333333333334,0.592,0.0,0.408,0.4404,Positive,
97,Something like these are the steps that you need to do first.,something like step need first,0.3333333333333333,0.385,0.0,0.615,0.3612,Positive,['Satisfaction']
98,"Fill out this, then fill out this then.",fill fill,0.0,0.0,0.0,1.0,0.0,Neutral,
99,Send it to this email.,send email,0.0,0.0,0.0,1.0,0.0,Neutral,
100,Much better than putting everything.,much good put everything,0.6000000000000001,0.492,0.0,0.508,0.4404,Positive,
101,Somewhere and then just writes all letters.,somewhere write letter,0.0,0.0,0.0,1.0,0.0,Neutral,
102,Will do it to do with it.,,0.0,0.0,0.0,0.0,0.0,Neutral,
103,It could be better.,could good,0.6000000000000001,0.744,0.0,0.256,0.4404,Positive,
104,Definitely.,definitely,0.5,1.0,0.0,0.0,0.4019,Positive,
105,You need to send it by emails.,need send email,0.0,0.0,0.0,1.0,0.0,Neutral,
106,Describe and sum up your experience with the website.,describe sum experience website,0.0,0.0,0.0,1.0,0.0,Neutral,
107,"Table, but there are just pieces of information which you need to put together.",table piece information need put together,0.0,0.0,0.0,1.0,0.0,Neutral,
108,"So that's what makes it hard to understand, actually.",make hard understand actually,0.3208333333333333,0.0,0.318,0.682,-0.1027,Negative,
109,The bigger view of what you need to do.,big view need,0.1,0.0,0.0,1.0,0.0,Neutral,
