,Sentence,Pre-processed sentence,textblob-subjectivity,vader-pos,vader-neg,vader-neu,vader-compound,vader-polarity,sentiment-category
57,Whatever the conditions of arrival.,whatever condition arrival,0.0,0.0,0.0,1.0,0.0,Neutral,
58,"Focus on whether the arrival is even possible, and if yes, what are the conditions of arrival.",focus whether arrival even possible yes condition arrival,1.0,0.278,0.0,0.722,0.4019,Positive,
59,The conditions of arrival.,condition arrival,0.0,0.0,0.0,1.0,0.0,Neutral,
60,I don't know what that means.,not know mean,0.6875,0.0,0.554,0.446,-0.357,Negative,
61,Ah.,ah,0.0,0.0,0.0,1.0,0.0,Neutral,
62,So the.,,0.0,0.0,0.0,0.0,0.0,Neutral,
63,Requirements to arrive.,requirements arrive,0.0,0.0,0.0,1.0,0.0,Neutral,
64,I would assume that's similar to the travel regulations thing already.,would assume similar travel regulation thing already,0.4,0.0,0.0,1.0,0.0,Neutral,['Expectation']
65,Perhaps?,perhaps,0.0,0.0,0.0,1.0,0.0,Neutral,
66,And it works.,work,0.0,0.0,0.0,1.0,0.0,Neutral,
67,"OK, no later than upon entry in the territory of the Slovak Republic, persons older than 12 years and two months of age arriving in the Slovakia.",ok no later upon entry territory slovak republic person old 12 year two month age arriving slovakia,0.2333333333333333,0.113,0.113,0.773,0.0,Neutral,
68,Must register and must be able when requested to show proof of registration during their stay in Slovakia.,must register must able request show proof registration stay slovakia,0.625,0.0,0.0,1.0,0.0,Neutral,
69,All unvaccinated persons entering the territory of the Slovak Republic.,unvaccinated person enter territory slovak republic,0.0,0.0,0.0,1.0,0.0,Neutral,
70,They go between Slovak Republic and Slovakia.,go slovak republic slovakia,0.0,0.0,0.0,1.0,0.0,Neutral,
71,It's kind of inconsistent.,kind inconsistent,0.9,0.773,0.0,0.227,0.5267,Positive,
72,"Center self isolation, which ends in case of asymptomatic course and without testing on the 10th day.",center self isolation end case asymptomatic course without test 10th day,0.1,0.0,0.213,0.787,-0.4019,Negative,
73,"If after arrival from abroad, people have COVID-19 symptoms, they have to report this to their attending physician or.",arrival abroad people covid19 symptom report attending physician,0.0,0.0,0.0,1.0,0.0,Neutral,
74,"Pediatrician If they do not have an attending physician in the Slovak Republic, they shall inform a locally competent physician of a self governing region.",pediatrician not attend physician slovak republic shall inform locally competent physician self govern region,0.6666666666666666,0.15,0.0,0.85,0.3182,Positive,
75,How do they legally determine if someone is competent?,legally determine someone competent,0.43333333333333335,0.649,0.0,0.351,0.4019,Positive,
76,I don't know.,not know,0.0,0.0,0.713,0.287,-0.357,Negative,
77,What are the conditions?,condition,0.0,0.0,0.0,1.0,0.0,Neutral,
78,Must do this.,must,0.0,0.0,0.0,1.0,0.0,Neutral,
79,Is it possible?,possible,1.0,0.0,0.0,1.0,0.0,Neutral,
80,"Yeah, hope so.",yeah hope,0.0,1.0,0.0,0.0,0.6249,Positive,['Expectation']
81,Interpretation of the railways station.,interpretation railway station,0.0,0.0,0.0,1.0,0.0,Neutral,
82,You better come fix so sweet wearing all published in the journal.,good come fix sweet wear publish journal,0.625,0.541,0.0,0.459,0.7096,Positive,
83,I shall go here and see what information it gives me.,shall go see information give,0.0,0.429,0.0,0.571,0.4588,Positive,
84,It gives me Slovak.,give slovak,0.0,0.0,0.0,1.0,0.0,Neutral,
85,I do not understand that language.,not understand language,0.0,0.0,0.0,1.0,0.0,Neutral,
86,I shall go back.,shall go back,0.0,0.0,0.0,1.0,0.0,Neutral,
87,Yes.,yes,0.0,1.0,0.0,0.0,0.4019,Positive,
88,Requirements.,requirements,0.0,0.0,0.0,1.0,0.0,Neutral,
89,"But it does not outright say whether you are allowed to or not, but.",not outright say whether allow not,0.0,0.275,0.0,0.725,0.2263,Positive,
90,"Oh, I suppose.",oh suppose,0.0,0.0,0.0,1.0,0.0,Neutral,['Expectation']
91,"That's yes, I can go in.",yes go,0.0,0.73,0.0,0.27,0.4019,Positive,
92,"There's conditions for it, but yes.",condition yes,0.0,0.73,0.0,0.27,0.4019,Positive,
93,They gave me a yes.,give yes,0.0,0.73,0.0,0.27,0.4019,Positive,
94,"How do you feel about the information you found, it seems?",feel information find seem,0.0,0.5,0.0,0.5,0.4588,Positive,
95,Informative.,informative,0.0,0.0,0.0,1.0,0.0,Neutral,
96,And hopefully in enough depths.,hopefully enough depth,0.5,0.574,0.0,0.426,0.4019,Positive,
97,To achieve actually.,achieve actually,0.1,0.0,0.0,1.0,0.0,Neutral,
98,Being able to follow through if needed.,able follow need,0.625,0.6,0.0,0.4,0.4588,Positive,
99,So that's hard too.,hard,0.5416666666666666,0.0,1.0,0.0,-0.1027,Negative,
100,"Say for certain, without actually doing it.",say certain without actually,0.3357142857142857,0.412,0.0,0.588,0.2732,Positive,
101,Of which I have not.,not,0.0,0.0,0.0,1.0,0.0,Neutral,
102,Then the form your arriving by plane from the USA that you're being within arriving in Slovakia.,form arriving plane usa within arrive slovakia,0.0,0.0,0.0,1.0,0.0,Neutral,
103,"Oh, interesting.",oh interesting,0.5,0.73,0.0,0.27,0.4019,Positive,
104,Do not submit the form of the last step.,not submit form last step,0.06666666666666667,0.0,0.0,1.0,0.0,Neutral,
105,Only fill the information.,fill information,0.0,0.0,0.0,1.0,0.0,Neutral,
106,Use this data and you can make up the rest of them.,use data make rest,0.0,0.0,0.0,1.0,0.0,Neutral,
107,OK.,ok,0.5,1.0,0.0,0.0,0.296,Positive,
108,Registration had arrival.,registration arrival,0.0,0.0,0.0,1.0,0.0,Neutral,
109,Birth date.,birth date,0.0,0.0,0.0,1.0,0.0,Neutral,
110,What am I arriving?,arrive,0.0,0.0,0.0,1.0,0.0,Neutral,
111,Today 123456.,today 123456,0.0,0.0,0.0,1.0,0.0,Neutral,
112,Native birth.,native birth,0.0,0.0,0.0,1.0,0.0,Neutral,
113,Dot com pistol@gmail.com.,dot com pistolgmailcom,0.0,0.0,0.0,1.0,0.0,Neutral,
114,Phone number.,phone number,0.0,0.565,0.0,0.435,0.0772,Positive,
115,I'll just copy and paste it.,shall copy paste,0.0,0.0,0.0,1.0,0.0,Neutral,
116,Except for the 9.,except 9,0.0,0.0,0.0,1.0,0.0,Neutral,
117,So I'm assuming it is not vaccinated.,assume not vaccinate,0.0,0.0,0.0,1.0,0.0,Neutral,['Expectation']
118,As someone who is vaccinated would not need to do home isolation.,someone vaccinate would not need home isolation,0.0,0.273,0.0,0.727,0.3089,Positive,
119,Have no exemption.,no exemption,0.0,0.0,0.688,0.312,-0.296,Negative,
120,Brother I don't know how to use your addresses.,brother not know use address,0.0,0.0,0.383,0.617,-0.357,Negative,
121,OK.  Why not?,ok not,0.5,0.688,0.0,0.312,0.296,Positive,
122,What's it gonna do?,gon na,0.0,0.0,0.0,1.0,0.0,Neutral,
123,Nothing.,nothing,0.0,0.0,0.0,1.0,0.0,Neutral,
124,Right you only.,right,0.5357142857142857,0.0,0.0,1.0,0.0,Neutral,
125,Next task.,next task,0.0,0.0,0.0,1.0,0.0,Neutral,
126,How did you feel about filling the form?,feel fill form,0.0,0.0,0.0,1.0,0.0,Neutral,
127,How I feel about filling in most forms?,feel fill form,0.0,0.0,0.0,1.0,0.0,Neutral,
128,Kind of boring.,kind boring,0.95,0.596,0.404,0.0,0.2732,Positive,
129,And they messed up their thing.,mess thing,0.175,0.0,0.714,0.286,-0.3612,Negative,
130,"Yep, that's about it.",yep,0.0,1.0,0.0,0.0,0.296,Positive,
131,Do you understand what are the rules after arriving after arrival in Slovakia?,understand rule arrive arrival slovakia,0.0,0.0,0.0,1.0,0.0,Neutral,
132,Yes.,yes,0.0,1.0,0.0,0.0,0.4019,Positive,
133,It states them.,state,0.0,0.0,0.0,1.0,0.0,Neutral,
134,"After being vaccinated all abroad, you would like to complete your vaccination in Slovakia.",vaccinate abroad would like complete vaccination slovakia,0.4,0.294,0.0,0.706,0.3612,Positive,['Satisfaction']
135,What are the steps you need to do try to do describing out loud how you would fill the forms that you need that you find to apply for VAC.,step need try describe loud would fill form need find apply vac,0.8,0.214,0.0,0.786,0.4588,Positive,
136,Questions from abroad.,questions abroad,0.0,0.0,0.0,1.0,0.0,Neutral,
137,Cool go home.,cool go home,0.65,0.535,0.0,0.465,0.3182,Positive,
138,"Never mind, that's so rock I'll go back to here.",never mind rock shall go back,0.0,0.0,0.0,1.0,0.0,Neutral,
139,How would you feel about the forms?,would feel form,0.0,0.0,0.0,1.0,0.0,Neutral,
140,I don't need this one.,not need one,0.0,0.0,0.0,1.0,0.0,Neutral,
141,Data vaccination country.,data vaccination country,0.0,0.0,0.0,1.0,0.0,Neutral,
142,This is former requirement.,former requirement,0.0,0.0,0.0,1.0,0.0,Neutral,
143,He does not say here.,not say,0.0,0.0,0.0,1.0,0.0,Neutral,
144,Information chart.,information chart,0.0,0.0,0.0,1.0,0.0,Neutral,
145,How to complete vaccination series?,complete vaccination series,0.4,0.0,0.0,1.0,0.0,Neutral,
146,Go download and sign both.,go download sign,0.0,0.0,0.0,1.0,0.0,Neutral,
147,Submit both and proof of previous vaccination original and copy to the Doctor of the Vaccination Center.,submit proof previous vaccination original copy doctor vaccination center,0.33888888888888885,0.223,0.0,0.777,0.3182,Positive,
148,Alright.,alright,0.0,1.0,0.0,0.0,0.25,Positive,
149,COVID pass will be needed to obtain your EU digital COVID certificate.,covid pas need obtain eu digital covid certificate,0.0,0.0,0.0,1.0,0.0,Neutral,
150,Alright.,alright,0.0,1.0,0.0,0.0,0.25,Positive,
151,Only the dose given in Slovakia would be shown in Ute UDC.,dose give slovakia would show ute udc,0.0,0.0,0.0,1.0,0.0,Neutral,
152,They had a typo.,typo,0.0,0.0,0.0,1.0,0.0,Neutral,
153,So you must fill out both of these.,must fill,0.0,0.0,0.0,1.0,0.0,Neutral,
154,Battle.,battle,0.0,0.0,1.0,0.0,-0.3818,Negative,
155,"Porpoise No, I won't start reading all this lock.",porpoise no not start read lock,0.0,0.0,0.306,0.694,-0.296,Negative,
156,How you would fill them out?,would fill,0.0,0.0,0.0,1.0,0.0,Neutral,
157,What are the steps that you need to do?,step need,0.0,0.0,0.0,1.0,0.0,Neutral,
158,You need to do this out.,need,0.0,0.0,0.0,1.0,0.0,Neutral,
159,"Yeah, I do the steps that it says to do.",yeah step say,0.0,0.524,0.0,0.476,0.296,Positive,
160,Great.,great,0.75,1.0,0.0,0.0,0.6249,Positive,
161,"Yes, I understood.",yes understand,0.0,0.73,0.0,0.27,0.4019,Positive,
162,"Order the next steps after filling the forms, you go to the place.",order next step fill form go place,0.0,0.0,0.0,1.0,0.0,Neutral,
163,With.,,0.0,0.0,0.0,0.0,0.0,Neutral,
164,The forms in the previous proof.,form previous proof,0.16666666666666666,0.0,0.0,1.0,0.0,Neutral,
165,A vaccination?,vaccination,0.0,0.0,0.0,1.0,0.0,Neutral,
166,To the vaccination center.,vaccination center,0.1,0.0,0.0,1.0,0.0,Neutral,
167,Where you get vaccinated?,get vaccinate,0.0,0.0,0.0,1.0,0.0,Neutral,
168,Yep.,yep,0.0,1.0,0.0,0.0,0.296,Positive,
169,Go to the questionnaire.,go questionnaire,0.0,0.0,0.0,1.0,0.0,Neutral,
170,Thank you.,thank,0.0,1.0,0.0,0.0,0.3612,Positive,
171,I've completed all the tasks we will like you to answer the following questions by describing the answers out loud and also by selecting the number on the radius scale.,complete task like answer following question describe answer loud also select number radius scale,0.43333333333333335,0.241,0.0,0.759,0.4215,Positive,['Satisfaction']
172,Best matches your answer.,best match answer,0.3,0.677,0.0,0.323,0.6369,Positive,
173,"Please do not refresh the website during a questionnaire, otherwise your answers will be lost.",please not refresh website questionnaire otherwise answer lose,0.0,0.209,0.245,0.545,-0.1027,Negative,
174,Great.,great,0.75,1.0,0.0,0.0,0.6249,Positive,
175,How would you describe your overall experience with the website?,would describe overall experience website,0.0,0.0,0.0,1.0,0.0,Neutral,
176,"Four, it's informative.",four informative,0.0,0.0,0.0,1.0,0.0,Neutral,
177,"As I need it to be, I suppose.",need suppose,0.0,0.0,0.0,1.0,0.0,Neutral,['Expectation']
178,How did you feel about obtaining information from the website?,feel obtain information website,0.0,0.0,0.0,1.0,0.0,Neutral,
179,Same as before.,,0.0,0.0,0.0,0.0,0.0,Neutral,
180,If you were in a situation that you would actually be planning to visit Slovakia.,situation would actually plan visit slovakia,0.1,0.0,0.0,1.0,0.0,Neutral,
181,Do you feel confident about the information that you found where they sufficient?,feel confident information find sufficient,0.8333333333333334,0.674,0.0,0.326,0.7351,Positive,
182,"The information, if it is accurate, would be sufficient, yes.",information accurate would sufficient yes,0.6333333333333334,0.403,0.0,0.597,0.4019,Positive,
183,"Yes, it's states pretty clearly what it States and what would be needed if it is accurate and up-to-date, yes.",yes state pretty clearly states would need accurate uptodate yes,0.6722222222222222,0.653,0.0,0.347,0.8834,Positive,
184,Thank you for participating.,thank participate,0.0,0.714,0.0,0.286,0.3612,Positive,
185,You are welcome.,welcome,0.9,1.0,0.0,0.0,0.4588,Positive,
